2^7<128; lcm = 128
2593^1<4096; lcm = 60355564032977923880586839522490281998804797120499129275596556058220048493796117919313364268714934608256421650441115301164761609929259415635170020270452994297161922187233663237588254484414184184078228398776282304585389495018819673779211513930690668674417024934240029743511840388716162244768717785557659934511382689477812704872392965786310296648781607313529357323411385894249807210298265802446113099751531910142163027257262416807182545507904592792271464623622349900490506089903427594481282825750760668068722345511082348969009224459184703586072464125466617252420744698855238063017085904944117023571139443798971802340362000247553523279274339983162137329166765698513395859813095678474176513729078572825611399316406003608220297010048180522993347366244545510806473101553339047594220240253852237065258926979997251625278850529272941341907710236867882515845990815092190405245231806362535100997710906513468597582464294023758836663021419604449380858901846760296296016826122207941136477273116208352732121265066323540403126127976774685309243480096662769846863533612929092869216403654192391536346755263881860624293127564140811777231041152
2609^1<4096; lcm = 157467666562039403404451064314177145734881715687382228280031414755896106520314071651488567377077264392941004086000869820738863040305437815392158582885611862121295454986492627386867755949836606536260097892407320532663281192504100528889962839845171954571554018053432237600822391574160467296601584702519934769140197436847613347012073247736483563956671213480998093256780305798097747011668175478581909077251746753560903338114197645449939261230123082595036251203030710890379730388558042594001666892383734582991296599438413848460145066614012891656063058903342404411565722919313316106411577125999201314497102808871517432306004458645867142235626753016070016291796091707421449798252366625139126524319165996502020140816503263413846754899215702984489643278532019237694088321952661575173320606822300486503260540490812829490352521030873103961037216007988305483842190036575524767284809782799854078503027755093639571092649343107986804853822883748008434660874918197613036307899352840518425069205560187592278104380558038116911756067891405153971816239572193166530466959196132003295785597133787949518328684483467774368780769814843377926795786365568
2617^1<4096; lcm = 412092883392857118709448435310201590388185449953879291408842212416180110763661925511945580825811200916326607693064276320873604576479330762881279011411646243171430205699651205871432917320722399305392676184429957833979806880783231084105032751874815005113756865245832165801352198749577942915206347166494669290839896692230204129130595689326377486874608565679772010052994060273621803929535615227448856055167821254068884035844855238142491046639232107151209869398331370400123754426856397468502362257368233403688223200730329041420199639328871737463917025150047072345067496879842948250479097338739909840038918050816761120344813668276234311230635212643055232635630371998321934122026443457989094114143257412845786708516789040354036957571247494710409396459918294345045429138550115342228580028053960373179032834464457174776252547537794913066034394292905395451215011325718148315984347201587218123442423635080054757549463330913601468302454486768538073507509660923153316017772606383636718406110951010928991799163920385751958065629671807287944243098960429516810232032216277452625070907699123063889466167293235165523099274605445120034424572918691456
2621^1<4096; lcm = 1080095447372678508137464348948038368407434064329117622782575438742808070311557906766809367344451157601692038763521468237009717594952325929511832288909924803352318569138785810589025676297613408579434204279390919482861073834532848671439290842663890128403156743809326106565344112922643788380755835923382528211291369230335365022451291301724435393098349050646682438348897431977162748099312847511143451720594859506914545057949365579171469033241427352843321067693026521818724360352790617764944691476562139751066833009114192417562343254680972823892926522918273376616421909322068367364505714124837303690742004211190730896423756624552010129735494892337447764737987205007601789333831308303389415673169477679068806963022504074767930865794239683635983028121445849478364069772139852311981108253529430138102245059131342255088557927096560467146076147441705041477634544684707266736194974015360098701542592347544823519537143390324549448420733209820338290663182821279584841282582001331511838942416802599644887505608635331055882090015369806901701861162375285763559618156438863203330310849079401550454290824475569368836043198740871659610226805619890306176
2633^1<4096; lcm = 2843891312932262511925943630780185024016773891378566700786521130209813649130331968517009064217939897965255138064352025868046586427509474172404654416699832007226654792542423039280904605691616104789650259867636290998373207406324990551899652788734022708085511706449955638586551049325321094806530115986266196780330175183473016104114249997440438390027953050352714860172646938395869515745490727496840708380326265081705997137580679569958477964524678220036464371235738831948701240808897696575099372657788113964558971312997668635441649789575001445310075534843813800631038887245006011270743545290696620617723697088065194450283751192445442671593558051524499964555120310785015511315977834762824331467455234728988168733638253228863961969636233087013543313043766921676532595710044231137446258031542989553623211240692824157648173022045243709995618496214009374210611756154834233316401366582443139881161645651085520326941298546724538697691790541456950719316160368429146887097038409505870671935383441244864988802267536826670137543010468701572181000440534127415452474605903526814368708465626064282346147740844174148145301742284715079753727179197171176161408
2647^1<4096; lcm = 7527780305331698869067972790675149758572400490479066056981921431665376729247988720664522992984886909914030350456339812472719314273617578134355120241004455323128955235859793784976554491265707829378204237869633262272693880004542249990878380931778958108302349486973032575338600627564124937952885217015646622877533973710653073627590419743224840418403991724283636234876996445933866608178313955684137355082723623671275774423176058821680091172096823248436521190661000688168212184421152202834288039425165137664187597065504828878014046993005028825735769940731575130270359934537530911833658164384473954775114626192108569709901089406403086751708148162385351406177403462647936058453393328617196005394354006327631682637940456296802907333627108981324849149626851041677781780844487079820820245009494293348440640154113905545294713989353760100358402159478482813535489318541846215588514417343726991265434876038423372305413617253179853932790169563236548554029876495231951810145860669962039668612959968975157625359602169980195854076348710653061563108166093835268702700281826635477633971308512192155370253070014528970140613711827640816108115843334912103299246976
2657^1<4096; lcm = 20001312271266323895113603704823872908526868103202878513400965243934905969611906030805637592360844519641578641162494881740015218025001905102981554480348837793553634061679472086682705283292985702657888660019615577858547639172068758225763858135736691693759342586887347552674661867437879960140816021610573076985607768149205216628507745257748400991699406011421621476068179556846283577929780180252752952454796668094579732642378788289204002244261259371095836803586278828462939774007001402930703320752663770773746445403046330328883322860414361589979940732523795121128346346066219632742029742769547297837479561792432469719207194552813001499288549667457878686213361000255566107310666074135889786332798594812517380769007792380605324785447228563380124190558543217737866191703802171083919390990226337426806780889480647033848055069712940586652274537734328835563795119365685394818682806882282615792260465634090900215483981041698871899423480529519509508057381847831295959557551800089139399504634637566993810580462965637380384280858524205184573178397311320308943074648813370464073461766716894556818762407028603473663610632326041648399263795740861458466099215232
2659^1<4096; lcm = 53183489329297155237107072251126678063772942286416453967133166583622914973198058135912190358087485577726957606851073890546700464728480065668827953363247559693059112970005716278489313348276048983367325946992157821525878172558530828122306098782923863213706091938533457142561925905517322814014429801462513811704731055508736671015202094640352998236928720584370091504865289441654268033715285499292070100577304340463487509096085198060993441967490688667743830060735915404882956859084616730392740129881332966487391798326700192344500755485841787467756662407780771227080272934190078003461057086024226264949858154806077936983371930315929770986608253565770499426641326899679550279339061091127330941858911463606483715464791719940029558604504180750027750222695166415964986203740409972912141660643011831217879230385129040463001978430366709019908397995835580373764131222393357464822877583499989475391620578121047703672971905589877300380567034727992375781924578333383415956463530236437021663282823501290636542333451025629794441802802815861585780081358450800701479635491194752063971334837700222626581089240289056636471540671354944743093642432874950618061357813301888
2663^1<4096; lcm = 141627632083918324396416133404750343683827345308727016914475622612187822573626428815934162923586974093486888107044409770525863337571942414876088839806328251462616417839125222449617041446459118442707188996840116278723413573523367595289701141058926247738099322832314596370642408686392630653720426561294674280569698800819765754913483178027260034304941182916177553677456265783125315773783805284614782677837361458654267236722874882436425535959427703922201819451739742723203314115742334353035866965873989689755924358944002612213405511858796680026635991991920193777714766823748177723216795020082514543561472266248585546186719450431320980137337779245646839973145853533846642393879919685672082298170281227584066134282740350200298714563794633337323898843037228165714758260560711757865033242292340506533212390515598634752974268560066546120016063862910150535333881445233510928823323004860471972967885599536350034881124184585843250913450013480643696707265152101800036692062381019631788689322158983936965112233980081252142598520863898639402932356657554482268040269313051624746355664672795692854585440646889757822923712807818217850858369798745993495897395856822927744
2671^1<4096; lcm = 378287405296145844462827492324088167979502839319609862178564387997153674094156191367360149168900807803703478133915618497074580974654658190134033291122702759656648452048303469162927117703492305360470901810559950580470237654880914847018791747768392007708463291285112286905985873601354716476087259345218075003401665496989594331373913568510811551628497899569110245872485685906727718431776543915206084532503592456065547789286798810987692606547631397176201059755596852813676052003147775056958800665849426461338073962739430977222006122174845932351144734610418837580276142186231382698712059498640396345852692423149971993864727652102058337946829208365122709568272574788904381834053265480430131818412821158877040644669199475384997866599895465643992133809752436430624119313957661105257503790162841492950210295067163953425194271323937744686562906577833012079876797340218707690887095745982320639797222436361590943167482697028787323189824986006799313905105221263907898004498619703436507589179486646095633814776960797024472880649227473265845232324632328022137935559335160889697515980341037295614597711967842543145029236909682459879642705732450548627541944333574040004224
2677^1<4096; lcm = 1012675383977782425626989196951584025681129100858595601052016866668380385550056124290423119325147462490514210964492110716668653269150519974988807120335475287600847906133308386949155894092248901449980604146868987703918826202116209045469305508775985404635556230770245592047324183630826576006485593267148786784106258535441144025087966622903442523709488877146508128200644181172310102241865808061006688293512117004887471431920760417014053107728009250240690236965732774982210791212426593827478709382478914637002023998253456726023310389062062560904014454552091228202399232632541411484452183277860341017847657616772475027575875924677210170683661790793433493514265682709897030169760591691111462877891122242313837805779446995605639288887920161528966942208707272324780767403464658778774337646265926676627712959894797903319245064334181342525928900908858973337830186479765480488504755311994672352737164462139978954859351179946063664179161487540201763323966677323481442958042804946099530816233485751598011722157924053634513901497981945932667686933040742115263253492340225701720250279372956840360278074937914487999243267207219945097803523245770118675929784980977705091307648
2683^1<4096; lcm = 2717008055212390247957212015421099940902469377603611997622561253271264574430800581471205229149370641862049628017732333052821996721130845092894969503860080196633074932155666402184585263849503802590297960926049494009614210700277788868994146680045968840637197367156568923462970784681507703425400846735760194941757091650588589419311014449249936291112558657384081307962328338085308004314925963027680944691493009924113085851843400198848704488034248818395771905779061035277271552822940551239125377273190927971076430387314024395920541773853513850905470781563260765267037141153108607012785207734499294950885265385800550498986075105908954887944264584698782063098774826710653731945467667507252054901381880976128026832906256289209930212086289793382218305945961611647386798943495679503451547904931481273392153871397742774605534507608608541997067241138468625465398390325210784150658258502081705922393812251921563535887639215795288810992690271070361330998202595258900711456428845670385041179954442271537465450549710235901400797719085560937347404041348311095251309119948825557715431499557643202686626075058424571301969685916971112697406852868401228407519613103963182759978419584
2687^1<4096; lcm = 7300600644355692596261028685436495541204935217620905437611822087539887911495561162413128450724358914683327350483646778912932705189678580764608783056872035488353072342702275622669980603963616717560130621008294990403833384151646418690987272129283518274792149325549700697345002498439211199104052075178987643808501305265131539769688695825134578814219445112391026474494776244435222607594206062655378698386041717666091861683903216334306468959348026575029439110828337001790028662435241261179529888733064023458282368450712783551838495746344391717382999990060481676272528798278402827043353853182599605533028708091646079190775583809577361783906238939085627403546407959371526577737471622591986271520013114182856008100019110649107082479875860674818020588076798850496528328761172890825774309220550890181604717452445734835365071221944331152346119676939065196625525474803841377012818740595093543813472173520913241220930086572841941035137358758366060896392170373460666211683424308316324605650537586383621169665627071403867063943471182902238652474659102911912940267605302494273581364439311387285618964263681986823088392546058901379817932213657394100731005200410349072076062013422208
2689^1<4096; lcm = 19631315132672457391345906135138736510300070800182614721738189593394758594011563965728902403997801121583467245450526188496876044255045703676033017639928903428181411529526419149359577844058165353519191239891305229195907969983777219860064774755643380640916089536403145175160711718303038914390796030156297774201060009857938710440692903073786882431436087907219470189916453321286313591820820102480313319960066178804121016068015748722950095031686843460254161769017398197813387073288363751311755870803209159079321288763966674970893715061920069328042886973272635227496829938570625201919578511208010339278314196058436306943995544863953525836923876507201252088136291002750034967536061193149851084117315264037699805780951388535448944788386189354585657361338512108985164676038793903430507117494061343698335085229626580972296676515808306468658715811289146313726038001747529462787469593460206539314426674597735705643081002794371979443484357701246337750398546134235731443216727965062596864594295569785557325230871195004998534943994010824119736504358327730133896379590658407101660288977308320411029394905040862567284687556352385810330419722524732736865672983903428654812530754092317312
2693^1<4096; lcm = 52867131652286927754894525221928617422238090664891781445640944575012084893673141759707934173966078420424277291998267025622087187178838079999556916504328536932092541249014646769225343134048639297027182009027284982224580163166312053083154438416947624065987029121533669956707796657390083796454413709210909905923454606547428947216785987977708074387857384734142033221445008794224042502773468535979483770652458219519497896271166411310904605920332669438464457643963853346711451388365563582282558560073042265400612230641362255696616774661750746700419494619023206667648963024570693668769424930683171843676500129985368974600180002318626845078835999433892971873351031670405844167574612793152548969527930006053525576968102089325964008315124007931899175274084613109497048472572471981938355667411507198579616384523384382558394949857071769320097921679801671022864220338706096843286655615188336210373751034691702255296817140525243740641303375289456387561823284739496824776582648409913573356352437969432505876846736128148461054604175871149354450406236976577250582950237643090324771158215891306866902160479275042893697663589256974987219820312759105260379257345651933367410145320770610521216
2699^1<4096; lcm = 142688388329522418010460323573985338422620606704542918121784909407957617128023809609451714335534445656725124411103322702154013318195683977918804117645182721179717768831090531630139201118797277462676364242364642167024141860385876231271433829287341637354098991599019375213154343178295836166630462601160245836087403983071510728538105381551834092772827081397449347664680078735610690714985591578608626696990984734483124822035878144128131531378977874814415571181058440182774207297198656108580625553637141074316252410501036728125168674812065265344432215976743634795984551203316302212008677887913880806082873850830510862445885826257973854867778362472077131086174434478425373408283879928718729668755883086338465532236907539090776858442519697408195874064754370782532533827473101879251621946343657928966384621828614448525107969664236705394944290613784710090710530694167755380030683505393319431798754042632904387046109462277632855990877809906242790029361045511901930071996568058356734488795230079498333361609340809872696386376670676232107661646433599781999323382691398700786557356024690637233768931133563340770089994027404575490506295024136825097763615575914568158639982220759877796761984
2707^1<4096; lcm = 386257467208017185554316095914778311110033982349197679355671749767341269565560452612785790706291744392754911780856694554730914052355716528226202746465509626233496000225762069122786817428584230091464918004081086346134352016064566958051771375880833812317545970258545448702008806983646828503068662261340785478288602582174579542152651267860814889136042909342895384128288973137298139765465996403293552468754595676245818893251122136154852055442893107122622951187125197574769779153516762085927753373695740888174095275226306423034831602716260673287378008649045019392730180107377230087907491042582875342066339514198192904641012931680335225127076027211912793850274194133097485816224462967041601213322175514718226195765308708318732955803900820883986231093290081708315569070969686787134140608752282013712003171290059312157467273881088761504114194691515210215553406589112113813743060249099715701879227193407272175733818314385552141167306231416199232609480350200718524704894709733971680261168687825201988409876485572325389117921647520560315440076895754609872168396945616283029210762758837554991812496578555963464633613832184185852800540630338385539646107364000736005438431871596989195834690688
2711^1<4096; lcm = 1047143993600934590037750936024964001419302126148674908733226113619262181792234387033262278604756919048758565837902498937875507995936347508021235645667996596719007656612040969391875062048891847777961392709063825084370228315551041023278352200012940465192867125370916711431145875732666552071819143390494869431640401600275285138775837587170669164447812327228589386371791406175215256904178316249328820742793708878302415019603792111115803922305683213409430820668296410625200871285183942014950139396089153547839972291138516712847428474963782685282081781447561047573691518271099670768317208216442175052341846422991300964481786057785388795319503109771495584128093340294827284047784519103649780889316417820401111216719751908252085043184375125416486672493909411511243507751398820879920655190327436539173240597367350795258893779491631632437653581808697734894365285263082940549057436335309329267794584921327114868414381450299231854704567193369316119604301229394147920474969558088797225188028312694122590579175152386574129898685586428239015158048464390747363448524119565743292190377839208611582803678224465216952621727099051327846942265648847363197980597063805995310743588803899437709907846455168
2713^1<4096; lcm = 2840901654639335542772418289435727335850566668241355027393242446249058299202331892021240561854705521379281989118229479618456253192975310789261612306697274766898667772388467149960157043338643583021609258419690157453896429420089974296154169518635107482068248511131297038112698760862724355770845336018412580768040409541546848581498847373994025443146914843771163005226670084953358991981035771984429090675199332186834451948185087997457176041215318557979785816473088162026169963796704034686559728181589873575289844825858795841955073452576742425170287873067233122067425089069493406794444585891207620917003429345575399516639085574771759801701811936810067519739517232219866421621639400328201855552715441546748214730960686927087906722159209715254928342475976233430003636529545001047224737531358335330777001740657622707537378823760796618803354167446996954768413018918744017709592824777694210303526708891560462638008216874661816021813490795610954632486469235346323308248592411094906871935120812339154588241302188424775614415133995979812448123785483892097597035845936381861551712495077772963224146379022974133592462745619726252448754366705322896356121359834105665278047356424979174506979987432870784
2719^1<4096; lcm = 7724411598964353340798205328975742626177690770948244319482226211351189515531140414405753087682944312630267728412465955082582552431699870036002323861909890091197477673124242180741667000837771902235755573643137538117144391593224640111243186921168857243743567701765996646628427930785747523340928468634063807108301873543465881293095366009889755179916461460213792211211315960988183099196436264025662697545866984216002874847115254265086061656064451159147037634990326712549156131563238270312755900925742866251213088081510065894275844717556162654038012726869806858901328817179952573074094829038193521273332324390619511285741673677804414900827226656186573586171747354405816800389237529492380845247833285565608395853482107754752018377550891215778150163192179378696179887723832857847404061347763313764382667732848076141794133021805606006526319981288384720015314998440064984152382890570550557815289121476152897912744341682205477763310881473266185645730709850906653075127922765767051784791593488750161325428100650326964895594749335069110046448572730702613366340465101022281559106274116464687006454004563466669237906205340035680408163123071772955192293977388933303891010762119518375484478585829975661696
2729^1<4096; lcm = 21079919253573720267038302342774801626838918113917758747866995330777396187884482190913300176286755029168000630837619591420367785586108945328250341819152090058877916569956056911244009245286279521201376960472122341521687044657910042863582657107869811418176196258119404848648979823114304991197393790902360129598555812900118390048857253840989141885992023324923438944395681257536751677707074564526033501602670999925471845457777528889419862259399887213312265705888601598546647083036077239683510853626352281999560517374440969825478780234210767882869736731627702917941726342084090571919204788445230119554923913262000646298789027466728248264357501544733159316662698530173474048262229217984707326681337036308545312284152672062718258152336382127858571795351457524461874913598339869065565683418046083263000300242942399790956189016507498791810327228936001900921794630742937341751852908367032472277924012508421258403879308450738748816075395540543420627199107183124256242024101227778284320696258630799190257093286674742287200078070935403601316758154982087431876743129260689806374801022063832130840612978453700540350246034372957371833877162862868394719770264294398986318568369824165646697142060730003580768384
2731^1<4096; lcm = 57569259481509830049281603698117983242897085369109399140424764248353068989112520863384222781439127984657809722817539104169024422435663529691451683508104357950795590152549991424607389248876829372400960479049366114695727318960752327060444236561592454983039191980924094641660363896925166930960082442954345513933655925030223323223429160239741346490644215700365911757144605514332868831818020635720597492876894500796463609945190431397005643830421091979555797642781770965630893183771526941575668141253568082140799772949598288593382548819629607088117251014075256668898854640231651351911348277243923456504497207118523765041992834011634846009960336718666258093805829685903757625804147994316235709166731446158637247848020947403283563014030659591181759573104830499305380389037066182418059881414683853391253819963475693829101352204081979200434003662224221191417421136558961880324310292750365681791010478160498456700994391378967523016701905221224081732880761717112343796967820453062494479821482320712588592121765908721186343413211724587235196066521256080776455385486010943861209581591256325549325714044157056175696521919872546582478318531778493585979692591788003631636010217989796381129894967853639779078456704
2741^1<4096; lcm = 157797340238818444165080875736541392068780910996728863043904278804735762099157419686536154643924649805947056450242874684527295941896153734884269064495714045143130712608139526494848853931171389309751032673074312520380988581271422128472677652415324919108510425219712943412791057441471882557761585976137861053692150890507842128955419328217131030730855795234702964126333363714786393468013194562510157727975567826683106754859766972459192469739184213115962441338864834216794278216717755346858906375176030113147932177654848909034461566314604753028529385029580278529451760568874956355589005627925594194278826844711873639980102358025891112913301282945864213435121779169062199652329169652420802078826010893920824696351425416832400246221458037939429202989880340398596047646350598406007902134957648442145426720519886876785566806391388704988389604038156590285675151335308114513968934512428752333789159720637926269817425626769749980588779922211375208029826167866604934347488795861844297369190683041073205331005760355804771767295613337093611672418334762917408264211617155997123575463141633588330701782195034490977584166582370650182573071095604850919170337394090917954314304007510031880677042106886826634454049825664
2749^1<4096; lcm = 433784888316511903009807327399752286797078724330007644507692862434218610010583746718287889116148862316548458181717662507765536544272526617196855658298717910098466328959775558334339499456790149212505588818281285118527337609915139431171390866489728202629295158928990881441762616906606205151286599848402980036599722798006058012498447733268893203479122581100198448383290416851947795643568271852340423594204835955551860469109499407290320099313017401855780751240539429261967470817757109448515133625358906781043665556373179650935734845798848466075427279446316185677462889803837255021514176471167458440072494996112940636305301382213174669398665226818180722733149770935751986844252887374504784914692703947388347090270068470872268276862788146295490879019181055755740534979817795018115722968998575567457778054709169024283523150769927550013083021500892466695320991020762006798900600974666640165586400072033659315728103047990042696638556006159070446873992135465296964521246699824209973467905187679910241454934835218107317588295641063670338487478002263259955318317735561836092708948176350734321099199254149815697378873934936917351893372441817735176799257496355933456410021716645077639981188751831886418114182970750336
2753^1<4096; lcm = 1194209797535357268985999572331518045552357728080511045329678450281403833359137054715446558736757817957457905374268724883878522106382265777142943627296370406501077803626262112094436642004543280782027886016728377931305760440096378854014839055446221741838449572531511896609172484343886882781492009382653404040759036862910677708408226609689262989178024465768846328399198517593412281406743452409493186154845913385634271871458451868270251233408736907308964408165205048758196447161285322311762162870613070368213211276695363579026078030484229827105651300315708459170055335629963963074228527825124013085519578724298925571748494705232869864854525369430451529684361319386125219782228198942011672870149013967160119539513498500311354566203255766751486389939805446495553692799438389684872585333653078537211262984614342323852539234069610545186017558191956960812218688280157804717373354483257260375859359398308664096199467691116587543845944684955920940244100348935962543326992164616050056957142981682792894725435601355449445320577899848284441856026940230754656991328726001734763227734329493571585986095546674442614884039942881333469762454332324224941728355887467884805496789785923898742868212633793183309068345718475675008
2767^1<4096; lcm = 3304378509780333563284260816641310432043373833598774062427220271928644406904732230397640628024608882288286024170601561753691870668359729405354525016729056914788482282633867264165306188426571257923871160608287421735923039137746680289059059666419695559666989967194693417917580264179535004656388389961801968980780254999673845219165563029010190691055593696782397790680582298180971782652459132817067646090458642338050030268325536319503785162841975022523904517393122369913929569295276486836645904662986365708845955602616071023165157910349863931601337147973565306523543113688110285826390336492118144207632674330135127057028084849379350916052471697214059382636627770741408483137425426472546298831702321647132050765833850350361518084684408706601362840963441670453197067976046024258042443618218068312463564678427885210099976060670612378529710583517144910567409110471196645652972071855172839460002847455120073554183927101319597733821728943273033241655425665505808357385787319492610507600414630316287939705280308950528615202039048880203050615626543618498135895006584846800089851140889708712578423526377648182715384138521952649710832711137541130413762360740623637256809617337651427821516344357705738216192112603022192747136
2777^1<4096; lcm = 9176259121659986305240392287812919069784449135903795571360390695145845517974441403814248024024338866114570289121760536990002324846034968558669515971456591052367615298874249392587055285260588383254590213009214170160658279685522531162717008693647494569195231138899663621557120393626568707930790558923924067859626768134094268173622768531561299549061383695964718664719977042048558640425879011832996853193203649772764934055140014359262011397212164637548882844800700821250982413932982803945365677249113137573465218708464829231329643517041572138056913259922590856215879226711882263739885964438612086464595936614785247837366991626726457493877713903163442905581915319348891357672630409314261071855637347214085704976720602422953935721168602978231984609355477518848528257769479809364583865927791575703711319111994237228447633520482290575177006290427111416645695099778513084978303443541814975180427907382868444259968765560364522906822941275469213312077117073109629808460331386230979379606351428388331608561563417955617964416062438740323871559594911628569323380433286119563849516618250721094830282132750729003400621752675462508246982438828951719159018075776711840662160307346658015060350888281348835026365496698592629258796672
2789^1<4096; lcm = 25592586690309701805315454090710231285628828640035685848524129648761763149630717075237937739003881097593536536360590137665116483995591527310129280044392432445053279068560281555925297190591781000897052104082698320578075942042922339412817737246582862353485499646391161840522808777824500126418974868838824225260499056325988913936233901434524464442332199128045600355904015970273430048147776564002228223555844979216241401079785500047981749786824727174123834254149154590468989952459089040203624873847776540692394494977908408726178375769028944693040731081924105897986087163299439633570541954819289109149758067218636056218416539646940089950424944075922842263667961825664057996548966211577474129405372561380085031180073760157618526726339233706289005075492426800068545310919079188317824402072610704637650869003351927630140449888625108414168670544001213741024843633282272994004488304038121965778213433690820091041052887147856654387129183217283635927383079516902757535795864236198201489722114133775056856278200372678218502756398141646763277779710208532079842908028434987463576301848301261133481656868241783190484334068211864935500834021893946344734501413341249323606765097189829204003318627416681900888533370292374843002783918208
2791^1<4096; lcm = 71428909452654377738635432367172255518190060734339599203230845849694080950619331356989084229559832143383560472982407074223340106831695952722570820603899278954143701880351745822587504458941660773503672422494811012733409954241796249301174304655212768828578029513077732696899159298908179852835358858929158412702052866205835058796028818903757780258549167766375270593328108573033143264380444390130218971944363336992529750413681330633917063655027813542979621403330290461998950957313317511208317022909144325072473035483342368754763846771359784638276680449650179561279169272768736017295382595900635903636974765607213232905600562154609791051636018915900652757897281455428385868368164696512730295170394818811817322023585864599913308093212801274252613165699363198991309962775150014595047906184656476643683575388355230015721995639152677583944759488307387551200338580490823926266526856570398406486993693431078874095578608029667922394477550359438627873326174931675596282406257083229180357814420547366183685872457240144907841193107213336116308283171192013034841556307362050010841458458608819823547304319262816884641776384379315034982827755106004248153993444635426862186481386256813308373262289119959185379896636486018186820769915718528
2797^1<4096; lcm = 199786659739074294534963304330980798684377599873947858971436675841594344418882269805498468590078850505043818642931792586602682278808253579765030585229106283234739934159343833065777249971659825183489771765717986402615347642014304109295384530120630114413532748548078418353226948559046179048380498728424856080327641866777720659452492606473810511383162022242551631849538719678773701710472102959194222464528384253568105711907066681783066027043112794479714001065114822422211065827605349078849662713076876677227707080246908605407074479419493317633259875217671552232897836455934154640375185120734078622472618419403375412436964772346443585571425944907774125763838696230833195273825756656146106635591594308216653049699969663285957522736716205164084559024461118867578693965882094590822348993598484165172382960361229578353974421802710039202293492288795762980707347009632834521767475617827404342944121360526727610845333366658981178937353708355349842161693311283896642801890301061792017460806934270983215769385262900685307231817120875701117314268029824060458451832991691653880323559308728869046461810180978098826343048547108944152846969231031493882086719664645288933535588437360306823520014622668525841507570892251392868537693454264722816
2801^1<4096; lcm = 559602433929147098992432215431077217114941657246927952978994129032305758717289237725201210520810860264627736018851951035074113062941918276921850669226726699340506555580322076417242077170619170338954850715776079913725588745282065810136372068867884950472305228683167649807388682913888347514513776938318021880997724868844395567126431790733143242384236824301387120810557953820245138491032360388703017123144004294244264099051693775674367941747758937337678916983386617604613195383122582769857905259328331572914807531771591003745215616854000782690760910484698017804346839913071567147690893523176154221545804192748854530235938327342388483185564071686675326264512188142563779961985944393865244686292055657314845192209615026863967021185542090664600849827515593948087921798435746948893399531069354146647844671971804048969482355469390819805624071900916932108961278973981569495470699205534559564586483930835364037977778760011806282203527737103334907894902964906194496488094733274079440907720222893023987370048121384819545556319755572838829597264751537193344123584209728322518786289623749562199139530316919654812586878980452152572124360816119214363724901780671454302833183213046219412679560958094540882062706069196151424774079365395488607616
2803^1<4096; lcm = 1568565622303399318475787499853309439573181465263139052200120543677553041684561733343738993089832841321751544060842018751312738915426196930211947425842514938251439875291642780197529542309245534460090446556320351998172825253025630465812250909036681516173871555998918922410110478207629038083182116758105415332436622807370840774655388309425000508403015818516788099631993944558147123190363706169534556996172644036766672269641897653215253340718968301357514004304432689145730786658892599503911708441897313398880205511555769583497839374041764193882202832088608543905584192276339602714977574545462760282992889152275039248251335131540714918369136092937750939519427663363606275233446602136004280855676632007453511073763550920299699560383074480132876182066526209836490444801015398697748198885587399673053908615536966749261459042380702467915164273538270160701418464964070339295804369873113370459535914458131525398451713864313093009016488247100647746829413010632063173656129537367244672864339784769146236598244884241649186194364274870667239361133098558752943578406539868488020157969815370022844188103478325792439681021782207383659664583367582157861520899691222086410841412546168553013740809365538998092421765111956812443641744461203554567147648
2819^1<4096; lcm = 4421786489273282678783244962086479310156798550576788988152139812627022024508779526296000221520238779686017602707513650859950611002586449146267479793450049610930809008447140997376835779769763161642994968842267072282849194388279252283124735312574405194094143916360952442274101438067306258356490387141099165822138839693978400143753539644269076433188101592398825652862590929709416740273635287691917916172210683539645249128120509484413799167486771641526831978134195750701815087591418238001527106097708526471443299337075714455880409195423733262553929783657787485269841838027001340053521782643659521237756954520263335640820513735813275354882594645991519898505266583022006089883085971421396067732152425629011447716939450044324853060719886959494577957245537385529066563894062408928952172658470879678338968387198709266168053040471200257052848087104383583017298652733714286474872518672306591325431742857472770098235381383498609192417480368576725998312115276971786086536629165838262732804573853264223240970452328677209055881912890860410947759034204837124547947528035889267728825316909528094397766263705400408887460800404042614536594460513214103011627416229555061592161941967649150945735341601454435622536955850606254278626077636132820324789219712
2833^1<4096; lcm = 12526921124111209828992932977590995885674210293784043203435012089172353395433372397996568627566836462850487868470386172886240080970327410431375770254843990547766981920930750445568575764087739036934604746730142615777311767701995121718092375140523289914868709715050578268962529374044678629923937266770733936774119332853040807607253777812214293535221891811265873074559720103866777625195208770031203456515872866467814990779965403369344293041490024060445514994054176561738242143146487868258326291574808255493598867021935499053509199250635436332815283077102511945769461927130494796371627210229487423666565452155906029870444515413559009080382390632093975872465420229701343252638782557036815059885187821806989431382089461975572308721019439756248139352876607413203845575511878804495721505141448002128734297440933943351054094263654910328230718630766718690688007083194612573583313845398644573224948127515220357688300835459451559842118721884177864753218222579661069983158270426819798322035357726297544441669291447142533255313459219807544215001343902303573844335346925674295475762122804693091428871825077399358378176447544652726982172106633935553831940470178329489490594781594350044629268222756920416118647195924767518371347677943164279980127859444096
